questionset,questionID,section,question,answer1,answer2,answer3,answer4,correctAnswer,selectedAnswer,isCorrect,skipReview,inBonusSection,ausValueSelectedAnswer,ausValueIsCorrect
1,14,3,Laws:,Are needed to protect the government%quote%s rights,Help to maintain a orderly and peaceful society,Ensures that every citizen is wealthy,All of the above,2,0,0,0,0,0,0
1,15,4,AusValue: Which of these statements best demonstrates Australian values about freedom of expression? ,Everyone can peacefully express their opinions within the law.,People with different views from me need to keep quiet.,Only approved topics can be discussed.,Australian people are free to join or leave any group voluntarily.,1,0,0,0,1,0,0
1,16,4,AusValue: Should people in Australia make an effort to learn English? ,People in Australia should speak whichever language is most commonly spoken in their local neighbourhood.,There is no expectation to learn any particular language in Australia.,Yes%comma% English is the national language of Australia and it helps. To get an education%comma% a job and to integrated into the community.,No%comma% you may put effort to learn most commonly spoken in your state.,3,0,0,0,1,0,0
1,17,4,AusValue: In Australia%comma% can you encourage violence against a person or group of people if you have been insulted? ,Yes%comma% if you do not intend to carry out the violence.,No%comma% it is against Australian values and the law.,Sometimes%comma% if I feel very offended.,Yes%comma% if it is a fair fight.,2,0,0,0,1,0,0
1,18,4,AusValue: Should people tolerate one another where they find that they disagree? ,It is against the law to disagree with one another.,No%comma% people only need to treat each other with respect if they agree with on another.,Yes%comma% peaceful disagreement reflects Australian values in relation to mutual respect.,No%comma% because you need to keep your dignity intact.,3,0,0,0,1,0,0
1,19,4,AusValue: Which of the following is an example of contributing to Australian community? ,Volunteering of fundraising for a charity is a great opportunity to strengthen our community.,I should not make any effort to get the know other people.,People in Australia should not contribute to the community because Australia is a safe country.,I work for Australian Armed Force.,1,0,0,0,1,0,0
2,0,1,Australia Day is celebrated on?,26-Jan,25-Apr,1-Jul,25-Dec,1,0,0,0,0,0,0
2,1,1,How many states are in Austalia,4,5,6,8,3,0,0,0,0,0,0
2,2,1,In 1851%comma% ________ was discovered in New South Wales and Victoria?,Oil,Gold,Diamond,Granite,2,0,0,0,0,0,0
2,3,1,The capital of Queensland is:,Brisbane,Gold Coast,Darwin,Sydney,1,0,0,0,0,0,0
2,4,1,What Percentage of people living in Australia were born overseas?,Around 10%,Around 10% to 20%,More than 50%,Around 25%,4,0,0,0,0,0,0
2,5,2,Which of these is an example of equality in Australia?,Everyone follows the same religion,Man and women have equal rights,Everyone belongs to the same political party,Everyone must have a college degree,2,0,0,0,0,0,0
2,6,2,If Australians break the law%comma% they get arrested by:,The Prime Minister,Police Officers,Judges,The Queen,2,0,0,0,0,0,0
2,7,2,Which of the following is true about freedom of association in Australia?,Australians cannot hold any protests against the government ,Australians are required to get the approval from the Queen before holding any protests ,Australians can hold protests only in poor economic times ,As long as they act legally%comma% Australians can protest against the government ,4,0,0,0,0,0,0
2,8,2,Citizens of Australia:,Must join a political party,Do not have to join a political party,Must join a political party if they want a job in Australia,Do not have to join a political party only if they are in school,2,0,0,0,0,0,0
2,9,2,Which of these is a responsibility of Australian citizens aged 18 years or over?,To attend local council meetings,To vote in federal and state or territory elections and in a referendum,To have a current Australian passport,To have a driver license from a state,2,0,0,0,0,0,0
2,10,3,A referendum is:,A vote to elect a different Prime Minister ,A vote to elect a different Queen ,A vote to amend the Australian Constitution ,All of the above,3,0,0,0,0,0,0
2,11,3,Which of the following has the power to interpret and apply laws?,Legislative ,Executive ,Judicial ,All of the above,3,0,0,0,0,0,0
2,12,3,What is the role of the Governor-General?,The appointment of the government members ,The appointment of the Head of State ,The appointment of the Queen ,The signing of Bills passed by the Parliament ,4,0,0,0,0,0,0
2,13,3,Which of the following statements is true about state government?,Some states do not have a constitution ,The states have no constitution,Each state has its own constitution ,All states have the same constitution ,3,0,0,0,0,0,0
2,14,3,The party or coalition of parties that wins the second largest number of votes in an election is called:,The Opposition ,The Sente ,The Parliament ,The Government ,1,0,0,0,0,0,0
2,15,4,AusValue: Australian values based on ______?  ,Freedom,Respect,Fairness and equality of opportunity,All of the above,4,0,0,0,1,0,0
2,16,4,AusValue: What is NOT Australian values? ,Freedom of speech and mutual respect. ,Rule of law,Barbecue food,Equality of opportunity and the importance of democracy.,3,0,0,0,1,0,0
2,17,4,AusValue: Why is it important that all Australian citizens vote to elect the state and federal parliament? ,By voting%comma% Australian citizens have a say in how Australia is governed and contribute to its future,There is a huge fine,To eligible for applying for a passport,To demonstate your loyalty to Australia,1,0,0,0,1,0,0
2,18,4,AusValue: Should people%quote%s freedom of speech and freedom of expression be respected in Australia? ,No,Yes,Depends on which state you are in,Depends on which city you are in,2,0,0,0,1,0,0
2,19,4,AusValue: What is NOT Australian values? ,Freedom of speech,Freedom of association,Freedom of religion,Freedom of information,4,0,0,0,1,0,0
3,0,1,Why did many non-British citizens immigrate to Australia after World War II?,To build a new life,To dig for gold,To claim free land,To change the world,1,0,0,0,0,0,0
3,1,1,ANZAC Day is named after:,The Australian and New Zealand Army Corps,The Australian and New Zealand Cadets,The Australian and Aboriginal Culture,None of the above,1,0,0,0,0,0,0
3,2,1,The British Government first transported convicts to:,Victoria,Tasmania,New South Wales,Queensland,3,0,0,0,0,0,0
3,3,1,The population of New South Wales and Victoria in the 10 years from 1851:,Did not change,Decreased by half,Increased by about 1/3,Increased by more than doubled,4,0,0,0,0,0,0
3,4,1,The capital city of the Northern Territory is:,Cairn,Darwin,Perth,Alice Spring,2,0,0,0,0,0,0
3,5,1,Which of the following is Australia%quote%s largest state?,New South Wales,Tasmania,Western Australia,Queensland,3,0,0,0,0,0,0
3,6,2,Who can apply and hold an Australian passport?,Permanent residents in Australia,Visa students in Australia,Australian citizens,A and C,3,0,0,0,0,0,0
3,7,2,Which of the following have legal status in Australia?,Laws that are passed by the Australian Parliament,Laws that are passed by the Australian Queen,Laws that are passed by the citizens,A and B,1,0,0,0,0,0,0
3,8,2,Which of the following laws is legal in Australia?,Laws voted on by the citizens,Laws chosen by the Queen,Laws passed by the Australian Parliament,All of the above,3,0,0,0,0,0,0
3,9,2,Which of these statements about passports is correct?,Australian citizens can apply for an Australian passport,Permanent residents can hold an Australian passport,Australian citizens need a passport and visa to return to Australia,Australian passport has no expiration date,1,0,0,0,0,0,0
3,10,3,Voting in Australia is:,Done by telephone ,By secret ballot ,Done online ,By ballot with your name and contact information on it ,2,0,0,0,0,0,0
3,11,3,What are the names of the two houses of the Commonwealth Parliament?,The Senate and the Town Hall ,The Senate and the house of Representatives ,The Palace and The Senate ,The House of Representative and the House of Commons ,2,0,0,0,0,0,0
3,12,3,Who approves the appointment of the Australian Government and its ministers?,The Prime Minister ,The Governor-General ,Queen Elizabeth II ,None of the above ,2,0,0,0,0,0,0
3,13,3,Where is the Parliament House of Commonwealth Parliament located?,Sydney,Melbourne,Canberra,Brisbane,3,0,0,0,0,0,0
3,14,3,The Queen%quote%s representative in Australia is:,The citizens ,The Sentors ,The Prime Minister ,The Governor-General ,4,0,0,0,0,0,0
3,15,4,AusValue: Do you agree that men and women should be provided equality of opportunity when pursuing their goals and interests? ,Yes%comma% people from different backgrounds are not given a preferential treatment%comma% nor discriminationed against,No since people are not created equal by nature,Depends if you are in rural area%comma% it is no need to be provided,No%comma% if you are rich%comma% you should have a special treatment,1,0,0,0,1,0,0
3,16,4,AusValue: Which of the following is NOT correct about freedom of speech? ,People in Australia should be able to express their ideas freely so long as it is within the law,In Australia%comma% people are free to meet for social or political discussion,In Australia%comma% people are free to say and write what they think about any topic and to discuss with others,In Australia%comma% people are free to join or leave any group voluntarily as long as it is within the law,4,0,0,0,1,0,0
3,17,4,AusValue: In Australia%comma% are people free to choose who they marry or not marry? ,No%comma% your parent will choose for you,No%comma% your local council will choose for you,Yes,Depends on your income,3,0,0,0,1,0,0
3,18,4,AusValue: Which of the following statement is INCORRECT (Loyalty to Australia)? ,In the citizenship pledge%comma% Australian citizens pledge their loyalty to Australia and its people,Australian citizens may also hold the citizenship of another country or countries if the laws of those countries allows,It is illegal for Australians to be involved in any sexual activity%comma% here or overseas%comma% with a child under 16 years of age,None of the above (all are correct),4,0,0,0,1,0,0
3,19,4,AusValue: The power of government comes from? ,The Prime Minister ,The Queen,The God,The Australian people,4,0,0,0,1,0,0
4,0,1,The indigenous people of Australia share:,Common beliefs,Common traditions,The same language,A and B,4,0,0,0,0,0,0
4,1,1,What do we celebrate on ANZAC Day?,The landing of the first free settlers from Europe ,The landing of the First Fleet at Sydney Cove ,The landing of the first settlers from Asia at Gallipoli ,The landing of the New Zealand and Australian Army Corps at Gallipoli ,4,0,0,0,0,0,0
4,2,1,What is the population of Australia?,12 million ,25 million ,32 million ,50 million ,2,0,0,0,0,0,0
4,3,1,How was Australia organized before 1901?,By 6 self-governing Aboriginal groups ,By 6 self-governing British colonies ,By 6 British colonies that governed each other ,None of the above ,2,0,0,0,0,0,0
4,4,1,What colours are on the Australian Aboriginal Flag?,Red%comma% black%comma% and yellow ,Red%comma% black%comma% and white ,Green%comma% blue%comma% and red ,Red%comma% green%comma% and yellow ,1,0,0,0,0,0,0
4,5,2,Which of the following is true about freedom of speech in Australia?,People have the freedom to make facial expressions,People may swear at anyone,People may express their views freely through violent actions,People may express their views freely through any media,4,0,0,0,0,0,0
4,6,2,Which of the following statements is correct about Australia%quote%s government system?,The Queen of Australia appoints the government ,The government is elected by the citizens of Australia ,The Queen of Australia is elected by the government of Australia ,B and C,2,0,0,0,0,0,0
4,7,2,What does equality under the law means for Australians?,Everyone earns the equal amount of money%comma% regardless of race or ethnicity ,People of other race or ethnicity should not be discriminated against ,People can be treated differently depending on their race ,None of the above,2,0,0,0,0,0,0
4,8,2,Which of the following demonstrates freedom of speech?,Australians are free to follow any religion ,Newspapers and other media can write about any topic ,Australians can choose to read any newspapers ,Australians can speak in any language ,2,0,0,0,0,0,0
4,9,3,What is the state and territory governments responsible for?,Defence ,Rubbish collection ,Police ,Libraries ,3,0,0,0,0,0,0
4,10,3,The leader of the Australian Government is:,The Queen of Australia appoints the government ,The Governor-General ,The Prime Minister ,The citizens ,3,0,0,0,0,0,0
4,11,3,The Governor-General is appointed by:,The Prime Minister ,The Queen ,The Commonwealth Parliament ,The Senators,2,0,0,0,0,0,0
4,12,3,Which of the following is the responsibility of the Federal Government?,Immigration ,Animal control ,Street signs ,Rubbish collection ,1,0,0,0,0,0,0
4,13,3,The leader of a territory government is called the:,Prime Minister ,Territory Minister ,Governor-General ,Chief Minister ,4,0,0,0,0,0,0
4,14,3,Which of the following is the role of the Council of Australian Government?,To facilitate and encourage cooperation among the levels of government ,To appoint the next Prime Minister ,To report to the Queen regarding political issues ,All of the above ,1,0,0,0,0,0,0
4,15,4,AusValue: Which of the following is NOT correct about Australian parliamentary democracy? ,Voting is compulsory,The first election was in year 1801,Australian laws are determined by parliaments elected by the Australian people,There are two Houses; Senate and House of representatives,2,0,0,0,1,0,0
4,16,4,AusValue: Which of the following is an example of mutual respect and tolerance for others? ,It is acceptable if John uses only verbal violence when he has a disgreement with Tommy,Amy listens to others and respecting their views and opinions%comma% even when they are different from your own,Anyone can create and share racially offensive material on Internet as long as it is anonymous and no specific offense to anyone,Mutual repect only applies to for people with 18 years of age and older,2,0,0,0,1,0,0
4,17,4,AusValue: In Australia%comma% is it acceptable for a husband to be violent towards his wife if she has disobeyed or disrespected him? ,No,Yes with limitation of once every 6 months,Yes with limitation of once a year,Yes%comma% if no one sees it,1,0,0,0,1,0,0
4,18,4,AusValue: Which of the following is correct about freedom of religion? ,Australia has no official national religion,People in Australia are free to follow any religion they choose,Religious intolerance is not acceptable in Australian society,All of the above are correct,4,0,0,0,1,0,0
4,19,4,AusValue: Which of the following statement is INCORRECT (Helping to keep our society safe)? ,Cyber abuse is not acceptable in Australia,Sharing sexual photos or videos online without consent is illegal in Australia,Stalking a person online or making racially abusive comments about at person online is considered as a personal freedom.,If you suspect a friend or neighbour may be planning to commit a crime%comma% you should report this to Australian government authorities as soon as possible,3,0,0,0,1,0,0
5,0,1,Which of the following is the official symbol for Commonwealth property?,The Australian Aboriginal Flag ,The national anthem ,Commonwealth Coat of Arms ,The Australian flag ,3,0,0,0,0,0,0
5,1,1,The first inhabitants of Australia were:,The Aboriginal ,British settlers ,Torres Strait Islander people ,A and C,4,0,0,0,0,0,0
5,2,1,What do the green strips represent on the Torres Strait Islander Flag?,Freedom ,The land ,Hope ,All of the above ,2,0,0,0,0,0,0
5,3,1,The national language of Australia is:,English,Australian,Aborigine,A and B,1,0,0,0,0,0,0
5,4,1,The capital of Western Australia is:,Sydney,Perth,Darwin,Canberra,2,0,0,0,0,0,0
5,5,2,The government in Australia is:,Secular,Appointed by the Queen of Australia ,Elected by the Royal family of Australia ,None of the above ,1,0,0,0,0,0,0
5,6,2,Which of the following demonstrates equality in Australia?,Adults and children have the same rights ,Men and women have the same rights ,Everyone speaks the same language ,Everyone follows the same religion ,2,0,0,0,0,0,0
5,7,2,Fair go%quote% means:,Australians can live in any parts of Australia ,Everyone has equality of opportunity ,One%quote%s achievements should be based on talent and effort ,B and C ,4,0,0,0,0,0,0
5,8,2,Equality of opportunity in Australia means:,People should get jobs based on their skills and abilities ,Men should be chosen for jobs more than women ,Women should be chosen for jobs more than men ,None of the above ,1,0,0,0,0,0,0
5,9,3,Which of the following statement is true?,All Australians are Christian ,Australians do not believe in change ,Australians believe change should occur by violent means ,Australians believe change should occur through the democratic process ,4,0,0,0,0,0,0
5,10,3,Who is considered to be above the law?,The Queen ,The Prime Minister ,The Senators,No one,4,0,0,0,0,0,0
5,11,3,Who is responsible for immigration and citizenship in Australia?,The Australian Government ,The state government ,The territory government ,The local government ,1,0,0,0,0,0,0
5,12,3,The rules about roads and traffic in Australia are controlled by:,The Australian government ,The state and territory governments ,The local government ,The police ,3,0,0,0,0,0,0
5,13,3,You must get a license from the ______ in order to use a gun in Australia.,Police,Army,Local government,State and territory governments,1,0,0,0,0,0,0
5,14,3,The role of ministers in the Australian Government is to:,Vote in elections ,Administer portfolios such as education and health ,Represent the Queen ,All of the above,2,0,0,0,0,0,0
5,15,4,AusValue: Which of the following is NOT correct regarding to a %quote%fair-go%quote% value? ,A %quote%Fair-go%quote% apply for Australian citizen or permanent resident only,What someone achieves in life should be a result of their hard work and talents,A person should get a job based on their skills and experience%comma% not because of their gender%comma% wealth or ethnicity,When an organization needs to fill a job%comma% the law supports that they select the person with the best skills and experience for the job,1,0,0,0,1,0,0
5,16,4,AusValue: Which of the following is an example of contributing to Australian community? ,When you work%comma% you pay taxes.,When you buy a property%comma% you pay stamp duty to government.,Volunteering around school and children%quote%s activities.,Keep your front lawn tidy,3,0,0,0,1,0,0
5,17,4,AusValue: What is an important of English language learning in Australia community? ,It helps to get an education%comma% a job and better integrate into the community,It helps you to get a concession card,It is to show your loyalty to Australia,It is the most spoken language in the world,1,0,0,0,1,0,0
5,18,4,AusValue: Which of the following is incorrect about equality of all people under the law? ,Either a husband or wife may apply for a divorce to the courts%comma% even if the other spouse wishes to continue the marriage.,Physical violence against a spouse or partner is never acceptable and it is criminal offence,Both men and women have the right to make their own choices abut personal matters%comma% such as marriage and religion.,None of the above (all are correct),4,0,0,0,1,0,0
5,19,4,AusValue: Which of the following is NOT correct about freedom of associate? ,In Australia%comma% people are free to join or leave any group voluntarily as long as it is within the law,In Australia%comma% people are free to associate with crime activities,Australians can gather freely within others%comma% including to protest against a government action or organisation.,All protests must be within the law and must not injure any person,2,0,0,0,1,0,0
6,0,1,The Australian nation came about by:,Negotiation ,Referendum ,Both A and B,None of the above,3,0,0,0,0,0,0
6,1,1,Who were the early free settlers of Australia?,The British ,The Ireland citizens ,A and B ,The Canadians ,3,0,0,0,0,0,0
6,2,1,Aboriginal culture is:,A new culture in both Australia and the world ,The same as many other indigenous cultures ,The oldest discontinued indigenous culture in the world ,The oldest continuing indigenous culture in the world ,4,0,0,0,0,0,0
6,3,1,The colonies in Australia were officially united into the Commonwealth of Australia in:,1701,1801,1901,2000,3,0,0,0,0,0,0
6,4,1,As an Australian citizen%comma% it is your responsibility to:,Ensure your passport is in good condition ,Volunteer in your community ,Join a Worker%quote%s Union ,Defend Australia along with your fellow Australians when needed ,4,0,0,0,0,0,0
6,5,2,Which of the following is the heritage of Australia?,Judaeo-Christian ,Christian-Atheist ,Christian-Buddhism ,Atheist ,1,0,0,0,0,0,0
6,6,2,Who can vote in Australia?,Citizens 16 years of age or over ,Citizens 17 years of age or over ,Citizens 18 years of age or over ,Citizens 20 years of age or over ,3,0,0,0,0,0,0
6,7,2,At the Australian citizenship ceremony%comma% people pledge to:,Obey the laws of Australia ,Volunteer in their community ,Pay taxes ,Obey the government unconditionally ,1,0,0,0,0,0,0
6,8,2,Children of Australian citizens who were born outside of Australia may:,Not be recognized as Australian citizens ,Be registered as Australian citizens only if they pass the citizenship test ,Be registered as Australian citizens only if they study or work in Australia for 3 years or more ,Be registered as Australian citizens ,4,0,0,0,0,0,0
6,9,3,A Jury:,Has the power to amend laws ,Decides if a law is reasonable ,Decides if a defendant is guilty of breaking the law ,Decides the punishment for offenders ,3,0,0,0,0,0,0
6,10,3,Can the government take away the judge%quote%s job if it disagrees with the decision that judge makes?,Yes,No,Yes%comma% in some cases,None of the above,2,0,0,0,0,0,0
6,11,3,The name given to the newly formed federation of states in 1901 was:,Australia Commonwealth ,The Commonwealth of Australia ,Australian Federation of States ,Australia ,2,0,0,0,0,0,0
6,12,3,The Prime Minister announces _________ on the eve of Australia Day.,The next Prime Minister ,The Best Politician Awards ,The Best Police Awards ,The Australian of the Year Awards ,4,0,0,0,0,0,0
6,13,3,What is the principal decision-making body of the Australian Government called?,The Queen ,The Governor-General ,The Prime Minister ,The Cabinet ,4,0,0,0,0,0,0
6,14,3,How many Members of Parliament are elected to the House of Representatives?,80,150,180,200,2,0,0,0,0,0,0
6,15,4,AusValue: Which of the following is an example of %quote%mateship%quote% value? ,You take a meal to an elderly neighbour.,You help driving a friend to medical appointment,All of the above,None of the above,3,0,0,0,1,0,0
6,16,4,AusValue: What is NOT a benefit of volunteering? ,It is a great opportunity to share knowledge,You are able to claim tax deduction,It will help you learn a new skill,It increases your integration into and sense of belonging to the Australian community,2,0,0,0,1,0,0
6,17,4,AusValue: Which of the following is an example of helping to keep our society safe? ,If a person in Australia sees or has knowledge of a child being abused%comma% they should report this to the police to investigate,Give money to police whenever possible,Have a safety deposit in your house to keep your valuables,All of the above,1,0,0,0,1,0,0
6,18,4,AusValue: Which of the following is NOT correct about Commitment to the Rule of Law? ,Australian laws apply to all people in Australia,Australian laws apply to permanent residents and citizens of Australia only,Importantance of laws is to maintain a peaceful and orderly society,In Australia%comma% everybody must obey the law and not break it at any time%comma% otherwise you will face panalties,2,0,0,0,1,0,0
6,19,4,AusValue: Which of the following is an example of equality of all people under the law? ,Any Australian citizen is eligible to apply for a passport regardless of their age.,All men%comma% but not women%comma% can join the Australian Defence Force.,Men and women should be provided equality of opportunity to pursue their goals and interests,Only wife can apply for a divorce to the courts,3,0,0,0,1,0,0
7,0,1,ANZAC Day is celebrated on:,25-Apr,25-May,31-Dec,1-Jan,1,0,0,0,0,0,0
7,1,1,Aboriginal people have been living in Australia for _______ years.,40%comma%000 to 60%comma%000 ,80%comma%000 to 100%comma%000 ,110%comma%000 to 150%comma%000 ,150%comma%000 to 200%comma%000 ,1,0,0,0,0,0,0
7,2,1,The typical landscape in the southern part of the Northern Territory is:,White sand beaches ,White desert ,Red desert ,Forest,3,0,0,0,0,0,0
7,3,1,The capital city of Victoria is:,Canberra,Melbourne,Sydney,Melton,2,0,0,0,0,0,0
7,4,1,Australia was a colony of:,Great Britain,France,German,None of the above,1,0,0,0,0,0,0
7,5,2,Which of the following is a responsibility for Australians 18 years old or over?,To attend university ,To serve on a jury if called to do so ,To volunteer in his or her community ,None of the above ,2,0,0,0,0,0,0
7,6,2,Australians are free to follow any belief of their choosing:,Unconditionally ,Only if their belief is approved by the police ,Only if they do not break the law ,Only if their belief is accepted by the Queen ,3,0,0,0,0,0,0
7,7,2,Australia is described as:,Monocultural ,Bicultural ,Anticultural ,Multicultural ,4,0,0,0,0,0,0
7,8,2,Which of the following is correct about freedoms in Australia?,Australians are free to join any organization ,Australians are free to join any legal organization ,Australians are free to swear at anyone ,All of the above ,2,0,0,0,0,0,0
7,9,3,______ Senators are elected to the Senate from each state?,8,12,14,16,2,0,0,0,0,0,0
7,10,3,Voting in local government elections is:,Compulsory in all states and territories ,Voluntary in a all states and territories ,Voluntary in some states ,Compulsory in some states ,3,0,0,0,0,0,0
7,11,3,Every state and territory of Australia:,Has its own Prime Minister ,Has its own Governor-General ,Has its own army ,Has its own capital ,4,0,0,0,0,0,0
7,12,3,The Cabinet is made up of:,The Queen,Ministers with the most senior qualifications ,The Prime Minister ,The Senators,2,0,0,0,0,0,0
7,13,3,_________ can tell a magistrate what to decide in an Australian court.,The Queen,The Prime Minister ,The police ,No one,4,0,0,0,0,0,0
7,14,3,Who is the representative for the Queen in each state?,The Prime Minister ,The Governor-General ,The Governor ,No representative,3,0,0,0,0,0,0
7,15,4,AusValue: Which of these statements about the Rule of Law is correct?,You do not have to follow the law if no one is watching,Not all Australians are equal in relation to the law,Regardless of your background or culture%comma% you must follow Australian Laws,Regardless of your background or culture%comma% you must follow your common sense,3,0,0,0,1,0,0
7,16,4,AusValue: Why are Australians allowed to peacefully protest against the actions of Australian government?,Because it is never acceptable to promote violence against another group of people,Because the tolerance of a peaceful public protest is an essential part of democracy,Because people are free to join any legal organization,Because this is a part of United Nation agreement,2,0,0,0,1,0,0
7,17,4,AusValue: What happens if a person%quote%s religious laws are different from Australian laws,The religious laws always prevail as it is part of freedom of religion in Australia,The person can choose which laws to follow as it is part of freedome of expression,Australian law must be followed by everyone in Australia%comma% including where it is different from religious laws,The supreme court of australia will determine which laws to follow for each case,3,0,0,0,1,0,0
7,18,4,AusValue: Which of the following is an example of contributing to Australian community? ,I should not make any effort to  get to know other people,People in Australia should not contribute to the community because Australia is a free country,Pay income taxes ,Volunteering or fundraising for a charity is a great opportunity to strengthen our community,4,0,0,0,1,0,0
7,19,4,AusValue: Should someone tolerates anotherperson where they find disagreement? ,No%comma% because you need to keep your dignity intact.,No%comma% people only need to treat each other with respect if they agree with on another.,Yes%comma% peaceful disagreement reflects Australian values in relation to mutual respect.,It is against the law to have any disagreement,3,0,0,0,1,0,0
8,0,1,Which of the following is Australia%quote%s smallest mainland state?,Victoria,Queensland,Tasmania,Gold Coast,1,0,0,0,0,0,0
8,1,1,British and Irish heritage has:,Had a major influence on Australia ,Had minor influence in Australia ,No influence in Australia ,Only influenced the government culture in Australia ,1,0,0,0,0,0,0
8,2,1,The first convict ships to arrive in Australia came from:,Japan,Spain,Great Britain,Canada,3,0,0,0,0,0,0
8,3,1,Which of the following is the second largest state in Australia?,South Australia ,Northern Australia ,Western Australia ,Queensland ,4,0,0,0,0,0,0
8,4,1,The British Government first transported convicts to:,Queensland ,New South Wales ,Tasmania ,Victoria,2,0,0,0,0,0,0
8,5,2,Australian citizens are free to follow%comma% obey and share their beliefs%comma% religions and traditions as long as they do not break what?,Australian laws,British laws,Chinese laws,All of the above ,1,0,0,0,0,0,0
8,6,2,All citizens are equal in the eyes of the law and none enjoys any special privilege as per the Australian Constitution. What would you say to this system.,The rule of law,Lawlessness,Disorganization,None of the above,1,0,0,0,0,0,0
8,7,2,Australia follows which form of government?,Democracy,Monarchy,Autocracy,Dictatorship,1,0,0,0,0,0,0
8,8,2,By when people are free to share different beliefs and traditions and follow them in the Australian democratic society,They have married,They do not change their religion,Australian laws are not broken by them,They go for holidays for less than 30 days,3,0,0,0,0,0,0
8,9,3,________ is responsible for local roads in Australia.,The federal government ,The state and territory governments ,The local government ,The Governor ,3,0,0,0,0,0,0
8,10,3,Jury members are chosen:,By gender ,By age,By status in the society ,Randomly ,4,0,0,0,0,0,0
8,11,3,The Australian court bases its decision on:,The police%quote%s judgement about the defendant ,The jury%quote%s personal feelings about the defendant ,The evidence presented in court ,All of the above,3,0,0,0,0,0,0
8,12,3,ATO stands for,Australian Territorial Office ,Australian Taxation Office ,Aboriginal Tactical Office ,Automatic Tax Office ,2,0,0,0,0,0,0
8,13,3,It is illegal to:,Talk on a hand-held mobile phone while driving. ,Talk to the Prime Minister ,Express negative comments about the government ,Talk to the Queen,1,0,0,0,0,0,0
8,14,3,Which of the following best describes Royal Assent?,When the Governor-General signs a Bill and it becomes law ,When the Prime Minister is elected ,When the Queen appoints the Governor-General ,When the Queen visits Australia ,1,0,0,0,0,0,0
8,15,4,AusValue: In Australia%comma% is it true that people can get more or less opportunities based on their religion? ,No%comma% all people should be provided equal opportunity to pursue their goals and interests regardless of their ethnicity or religion%comma% as long as they obey the law.,Yes%comma% people in minority can get less opportunities to pursue their goals and interests.,Yes%comma% if you belong to a religion followed by majority.,Yes%comma% if your religion is not approved by the government%comma% you will not get any opportunities to pursue your goals and interests.,1,0,0,0,1,0,0
8,16,4,AusValue: In Australia%comma% women are not permitted to pursue goals and interests in male-dominated industries. Yes/No?,Yes%comma% women have limited opportunities in Australia,No%comma% men and women have equal opportunities to pursue goals and interests in any industry.,Yes%comma% it is culturally not acceptable for women to work in certain industries,Yes%comma% as certain industries are not suitable for women,2,0,0,0,1,0,0
8,17,4,AusValue: Which of the below acts qualifies to be called %quote%mateship%quote%?,Taking meal to an elderly neighbour,Using someone else%quote%s things without asking them,Taking a walk in the park,Calling someone mate,1,0,0,0,1,0,0
8,18,4,AusValue: Which of the following events demonstrated Australian values during Bushfire season of 2019-20?,People created memes on Facebook to criticise the government action,People prayed for the bushfires to end,Members of the Sikh community donated thousands of bottles of water to communities and firefighters in Queensland.,People stopped building houses in the forest area,3,0,0,0,1,0,0
